RoadID,Length,NumberofBends,Trafficvolume,AccidentRisk
101,4.0,5,Medium,Low
102,5.0,5,Low,Low
103,6.7,4,High,Medium
104,6.9,4,Low,Low
105,5.9,19,Medium,High
106,7.9,16,Medium,Low
107,6.7,14,Low,Medium
108,6.9,7,Medium,Medium
109,3.2,7,Medium,Low
110,5.3,18,Medium,High
111,4.1,9,High,Medium
112,3.8,18,Medium,Medium
113,8.4,13,Medium,Medium
114,7.6,5,Low,High
115,6.4,16,Low,High
116,7.6,5,Low,Medium
117,8.6,20,Low,Medium
118,3.2,4,Low,Medium
119,8.3,11,High,High
120,3.4,7,High,Low
121,5.3,15,Low,High
122,6.9,20,High,High
123,7.2,17,Medium,Medium
124,5.7,15,High,Medium
125,5.7,19,Medium,High
126,10.0,12,Low,Medium
127,5.0,4,Medium,High
128,5.9,14,High,High
129,5.5,5,Medium,Low
130,9.1,18,High,High
131,2.5,15,High,High
132,9.2,17,Low,Low
133,6.1,11,High,High
134,4.5,19,Medium,Medium
135,3.2,5,Medium,High
136,4.8,10,Medium,Low
137,6.9,12,Medium,Medium
138,5.0,6,Medium,Medium
139,5.9,9,Low,High
140,7.7,8,Low,Medium
141,4.6,13,Low,High
142,3.8,13,Medium,Low
143,7.8,5,Low,Low
144,4.9,15,High,High
145,6.4,9,Medium,High
146,6.9,18,Medium,Medium
147,9.0,3,Medium,Low
148,6.4,4,Low,Low
149,9.7,13,High,Low
150,9.4,5,Low,Low
