Weight,Color_Score,Sugar_Content,Fruit_Type
182,0.67,8,Banana
131,0.9,9,Apple
172,0.31,6,Grape
94,0.39,9,Orange
186,0.28,10,Grape
151,0.48,3,Apple
140,0.52,8,Apple
100,0.44,10,Grape
182,0.83,7,Apple
162,0.5,6,Grape
166,0.45,4,Orange
154,0.63,8,Grape
154,0.35,8,Orange
167,0.81,3,Grape
196,0.3,11,Apple
179,0.94,8,Grape
183,0.79,5,Apple
103,0.39,6,Grape
82,0.25,6,Grape
101,0.82,5,Banana
132,0.74,12,Apple
81,0.76,5,Banana
167,0.79,5,Apple
187,0.3,6,Banana
109,0.5,9,Orange
117,0.33,6,Grape
81,0.85,11,Apple
143,0.69,3,Apple
139,0.48,10,Grape
100,0.29,9,Apple
112,0.47,4,Apple
155,0.48,10,Banana
137,0.76,3,Apple
101,0.7,11,Orange
187,0.87,11,Orange
168,0.58,4,Grape
128,0.33,9,Apple
170,0.75,12,Grape
138,0.78,5,Orange
121,0.64,9,Apple
171,0.79,12,Apple
139,0.6,11,Grape
159,0.62,6,Orange
94,0.55,3,Apple
141,0.27,4,Grape
141,0.33,3,Orange
126,0.27,7,Grape
141,0.7,7,Banana
130,0.47,9,Apple
187,0.61,11,Banana
134,0.89,11,Orange
195,0.42,5,Banana
143,0.54,5,Banana
82,0.78,5,Orange
180,0.41,6,Grape
130,0.3,10,Banana
86,0.45,8,Grape
100,0.36,10,Banana
152,0.9,3,Grape
118,0.82,10,Orange
97,0.69,6,Banana
83,0.86,3,Orange
168,0.81,10,Banana
139,0.38,6,Orange
93,0.87,8,Orange
193,0.63,10,Banana
88,0.82,6,Banana
169,0.88,5,Banana
132,0.47,11,Apple
81,0.33,5,Grape
163,0.41,11,Apple
171,0.55,4,Apple
190,0.82,4,Orange
139,0.85,4,Banana
150,0.25,8,Grape
123,0.61,5,Orange
87,0.54,11,Apple
126,0.41,6,Banana
114,0.33,3,Orange
157,0.49,6,Banana
160,0.91,3,Orange
115,0.48,7,Banana
129,0.61,6,Apple
183,0.74,10,Grape
83,0.5,10,Apple
81,0.93,9,Grape
85,0.92,5,Banana
133,0.43,3,Orange
185,0.6,3,Apple
83,0.46,5,Grape
133,0.45,8,Apple
172,0.28,9,Grape
142,0.68,8,Apple
97,0.6,8,Grape
169,0.29,8,Grape
123,0.45,5,Banana
113,0.89,8,Grape
153,0.42,10,Banana
141,0.35,4,Grape
179,0.59,7,Orange

